accession,location
GCA.001889985.1.Archaea.Micrarchaeota,C
GCA.002789635.1.Archaea.Aenigmatarchaeota,B
GCA.002254415.1.Archaea.EX4484.52,D
GCA.001564035.1.Archaea.Nanohaloarchaeota,C
GCA.002779075.1.Archaea.Iainarchaeota,B
GCA.002687735.1.Archaea.Iainarchaeota,C
GCA.002779595.1.Archaea.Nanoarchaeota,C
GCA.002763265.1.Archaea.Nanoarchaeota,D
GCA.002412085.1.Archaea.Nanoarchaeota,D
GCA.002505525.1.Archaea.Nanoarchaeota,D
GCA.002497285.1.Archaea.Nanoarchaeota,C
GCA.002789275.1.Archaea.Huberarchaeota,D
GCA.000387965.1.Archaea.Nanoarchaeota,D
GCA.002841105.1.Archaea.Altiarchaeota,D
GCA.002083985.1.Archaea.Altiarchaeota,B
GCA.002254565.1.Archaea.Altiarchaeota,D
GCA.001742785.1.Archaea.Altiarchaeota,D
GCA.001723855.1.Archaea.Altiarchaeota,B
GCF.002201895.1.Archaea.Euryarchaeota,D
GCA.001587715.1.Archaea.Methanobacteriota.B,C
GCF.002214485.1.Archaea.Methanobacteriota.B,D
GCA.001515205.2.Archaea.Hadarchaeota,B
GCA.003230355.1.Archaea.Hydrothermarchaeota,C
GCA.002502135.1.Archaea.Undinarchaeota,B
GCF.000025525.1.Archaea.Methanobacteriota.A,D
GCA.003009755.1.Archaea.Thermoplasmatota,D
GCA.002495235.1.Archaea.Thermoplasmatota,C
GCA.002494765.1.Archaea.Thermoplasmatota,C
GCA.002011355.1.Archaea.Thermoplasmatota,C
GCA.002502685.1.Archaea.Thermoplasmatota,D
GCA.001595945.1.Archaea.Thermoplasmatota,C
GCA.002497685.1.Archaea.Thermoplasmatota,D
GCF.002078355.1.Archaea.Thermoplasmatota,D
GCA.002878135.1.Archaea.Thermoplasmatota,C
GCA.002011395.1.Archaea.Thermoplasmatota,D
GCA.002495185.1.Archaea.Thermoplasmatota,C
GCA.001800745.1.Archaea.Thermoplasmatota,D
GCA.001595885.1.Archaea.Thermoplasmatota,A
GCA.001421185.1.Archaea.Thermoplasmatota,B
GCA.003034855.1.Archaea.Halobacteriota,B
GCF.000194625.1.Archaea.Halobacteriota,C
GCA.002011165.1.Archaea.Halobacteriota,B
GCA.003194435.1.Archaea.Halobacteriota,B
GCA.001766825.1.Archaea.Halobacteriota,D
GCF.002114285.1.Archaea.Halobacteriota,D
GCA.003158275.1.Archaea.Halobacteriota,C
GCA.002256595.1.Archaea.Halobacteriota,E
GCF.000970205.1.Archaea.Halobacteriota,E
GCF.000011005.1.Archaea.Euryarchaeota,C
GCA.001412335.1.Archaea.Halobacteriota,E
GCF.000019605.1.Archaea.Thermoproteota,E
GCF.001481685.1.Archaea.Thermoproteota,D
GCF.000092185.1.Archaea.Thermoproteota,E
GCF.000011205.1.Archaea.Thermoproteota,B
GCA.002254745.1.Archaea.Thermoproteota,D
GCF.000148385.1.Archaea.Thermoproteota,D
GCA.003019535.1.Archaea.Thermoproteota,D
GCA.001717025.1.Archaea.Thermoproteota,D
GCA.002495485.1.Archaea.Thermoproteota,B
GCA.002255025.1.Archaea.Thermoproteota,C
GCA.001593865.1.Archaea.Thermoproteota,D
GCA.001774245.1.Archaea.Thermoproteota,C
GCA.001593875.1.Archaea.Thermoproteota,C
GCA.001593855.1.Archaea.Thermoproteota,C
GCA.001775995.1.Archaea.Thermoproteota,D
GCA.001273335.1.Archaea.Thermoproteota,B
GCA.002255045.1.Archaea.Thermoproteota,C
GCA.002011085.1.Archaea.Thermoproteota,C
GCA.002011075.1.Archaea.Thermoproteota,B
GCA.001510295.1.Archaea.Thermoproteota,D
GCA.002506605.1.Archaea.Thermoproteota,E
GCA.000405685.1.Archaea.Thermoproteota,B
GCA.000375685.1.Archaea.Thermoproteota,C
GCA.001940655.1.Archaea.Asgardarchaeota,D
GCA.001563325.1.Archaea.Asgardarchaeota,D
GCA.001940665.1.Archaea.Asgardarchaeota,C
GCA.001940755.1.Archaea.Asgardarchaeota,B
GCA.001940725.1.Archaea.Asgardarchaeota,B
GCA.003144275.1.Archaea.Asgardarchaeota,B
GCA.001940645.1.Archaea.Asgardarchaeota,E
GCA.000189635.1.Eukaryota.Ciliophora,E
GCF.000165345.1.Eukaryota.Apicocomplexa,E
GCA.000315625.1.Eukaryota.Cryptophyceae,E
GCA.015473125.1.Eukaryota.Viridiplantae,E
GCF.000091205.1.Eukaryota.Rhodophyta,E
GCA.002049455.2.Eukaryota.Rhodophyta,E
GCA.000004985.1.Eukaryota.Heterolobosea,E
GCA.000209225.1.Eukaryota.Cnidaria,E
GCA.000188695.1.Eukaryota.Choanoflagellata,E
GCA.000002865.1.Eukaryota.Choanoflagellata,E
GCA.000002435.2.Eukaryota.Fornicata,C
GCA.002402105.1.Bacteria.UBP17,D
GCA.002325765.1.Bacteria.Proteobacteria,C
GCA.001791795.1.Bacteria.Wallbacteria,D
GCA.002869225.1.Bacteria.Muirbacteria,C
GCA.001787855.1.Bacteria.Riflebacteria,D
GCA.003498085.1.Bacteria.UBA9089,D
GCA.003485015.1.Bacteria.UBA9089,D
GCA.001873945.1.Bacteria.UBA9089,B
GCA.003527405.1.Bacteria.Atribacterota,D
GCA.002478245.1.Bacteria.UBP18,D
GCA.001871015.1.Bacteria.Desantisbacteria,D
GCA.002440765.1.Bacteria.UBA6266,C
GCA.002791075.1.Bacteria.Ratteibacteria,B
GCA.002085025.1.Bacteria.Omnitrophota,D
GCA.003140915.1.Bacteria.Omnitrophota,C
GCA.002783585.1.Bacteria.Omnitrophota,C
GCA.002780805.1.Bacteria.Omnitrophota,C
GCA.002796105.1.Bacteria.Omnitrophota,C
GCA.002779345.1.Bacteria.Omnitrophota,C
GCA.002787095.1.Bacteria.Omnitrophota,C
GCA.001805885.1.Bacteria.Omnitrophota,D
GCA.003154195.1.Bacteria.Omnitrophota,C
GCA.001805575.1.Bacteria.Omnitrophota,C
GCA.002796125.1.Bacteria.Omnitrophota,D
GCA.003451585.1.Bacteria.Omnitrophota,C
GCA.001805375.1.Bacteria.Omnitrophota,C
GCA.001804315.1.Bacteria.Omnitrophota,D
GCA.002441095.1.Bacteria.UBA6262,C
GCA.002780705.1.Bacteria.CG03,C
GCA.001800605.1.Bacteria.Elusimicrobiota,D
GCA.002412545.1.Bacteria.Elusimicrobiota,C
GCA.001800495.1.Bacteria.Elusimicrobiota,E
GCF.001027545.1.Bacteria.Elusimicrobiota,D
GCA.003158755.1.Bacteria.Elusimicrobiota,D
GCA.002841695.1.Bacteria.Elusimicrobiota,C
GCA.001800095.1.Bacteria.Elusimicrobiota,C
GCA.001800075.1.Bacteria.Elusimicrobiota,C
GCA.001800245.1.Bacteria.Elusimicrobiota,C
GCA.001799695.1.Bacteria.Elusimicrobiota,D
GCA.003152075.1.Bacteria.FCPU426,D
GCA.003167475.1.Bacteria.Goldbacteria,C
GCA.001778375.1.Bacteria.Firestonebacteria,D
GCA.003501375.1.Bacteria.Sumerlaeota,C
GCA.003290465.1.Bacteria.Sumerlaeota,D
GCA.002428325.1.Bacteria.UBP4,C
GCA.002746185.1.Bacteria.Hydrogenedentota,D
GCA.001567115.1.Bacteria.OLB16,C
GCA.001784175.1.Bacteria.Lindowbacteria,B
GCA.002687025.1.Bacteria.Poribacteria,B
GCA.000406005.1.Bacteria.Poribacteria,D
GCA.001730085.1.Bacteria.GCA.001730085,D
GCF.900105685.1.Bacteria.Verrucomicrobiota,D
GCA.003219195.1.Bacteria.Verrucomicrobiota,D
GCA.003164675.1.Bacteria.Verrucomicrobiota,B
GCA.002708005.1.Bacteria.Verrucomicrobiota,D
GCA.002382525.1.Bacteria.Verrucomicrobiota,C
GCA.002323895.1.Bacteria.Verrucomicrobiota,B
GCA.003246265.1.Bacteria.Verrucomicrobiota,A
GCA.002429065.1.Bacteria.Verrucomicrobiota,A
GCA.002369235.1.Bacteria.Verrucomicrobiota,C
GCA.001804885.1.Bacteria.Verrucomicrobiota,C
GCA.001804805.1.Bacteria.Verrucomicrobiota,B
GCA.003477185.1.Bacteria.Verrucomicrobiota,E
GCF.000170755.1.Bacteria.Verrucomicrobiota,A
GCA.002340265.1.Bacteria.Verrucomicrobiota,C
GCA.001803235.1.Bacteria.Verrucomicrobiota,A
GCA.002366995.1.Bacteria.UBA3054,E
GCF.000204255.1.Bacteria.Chlamydiota,D
GCA.002786175.1.Bacteria.Chlamydiota,C
GCA.001794905.1.Bacteria.Chlamydiota,D
GCA.003136555.1.Bacteria.Planctomycetota,B
GCA.003245715.1.Bacteria.Planctomycetota,C
GCA.002746535.1.Bacteria.Planctomycetota,A
GCF.002277955.1.Bacteria.Planctomycetota,D
GCA.003508595.1.Bacteria.Planctomycetota,D
GCF.900129635.1.Bacteria.Planctomycetota,D
GCA.002404095.1.Bacteria.Planctomycetota,D
GCA.003170085.1.Bacteria.Planctomycetota,C
GCA.002704825.1.Bacteria.Planctomycetota,C
GCA.002364485.1.Bacteria.Planctomycetota,D
GCA.002338715.1.Bacteria.Planctomycetota,D
GCA.003171235.1.Bacteria.Planctomycetota,D
GCA.002839495.1.Bacteria.Planctomycetota,D
GCA.002311745.1.Bacteria.Planctomycetota,A
GCA.002748355.1.Bacteria.Planctomycetota,C
GCA.002746235.1.Bacteria.Planctomycetota,B
GCA.002683135.1.Bacteria.Planctomycetota,B
GCA.003509045.1.Bacteria.Planctomycetota,D
GCA.002402755.1.Bacteria.Planctomycetota,C
GCA.002167285.1.Bacteria.Planctomycetota,C
GCA.001828445.1.Bacteria.Planctomycetota,D
GCA.001303885.1.Bacteria.Planctomycetota,E
GCF.000949635.1.Bacteria.Planctomycetota,D
GCA.001302825.1.Bacteria.Planctomycetota,C
GCA.002780065.1.Bacteria.UBA8481,E
GCF.900112165.1.Bacteria.Spirochaetota,A
GCF.000092845.1.Bacteria.Spirochaetota,D
GCA.003497555.1.Bacteria.Spirochaetota,E
GCF.000266885.1.Bacteria.Spirochaetota,C
GCA.002730875.1.Bacteria.Spirochaetota,D
GCA.002418835.1.Bacteria.Spirochaetota,A
GCF.001922545.1.Bacteria.Spirochaetota,D
GCF.000758165.1.Bacteria.Spirochaetota,A
GCA.002406055.1.Bacteria.Spirochaetota,C
GCA.001829315.1.Bacteria.Spirochaetota,D
GCA.002450905.1.Bacteria.Spirochaetota,C
GCA.001829155.1.Bacteria.Spirochaetota,B
GCF.000526155.1.Bacteria.Desulfobacterota,E
GCF.000177635.2.Bacteria.Chrysiogenota,E
GCF.000487995.1.Bacteria.Deferribacterota,D
GCA.002402635.1.Bacteria.Deferribacterota,B
GCA.002707655.1.Bacteria.SAR324,C
GCA.002401295.1.Bacteria.SAR324,E
GCF.900177345.1.Bacteria.Proteobacteria,D
GCF.001907975.1.Bacteria.Proteobacteria,C
GCF.002795805.1.Bacteria.Proteobacteria,D
GCA.001872725.1.Bacteria.Proteobacteria,B
GCF.002109495.1.Bacteria.Proteobacteria,C
GCA.002689455.1.Bacteria.Proteobacteria,B
GCA.002937675.1.Bacteria.Proteobacteria,C
GCA.002787615.1.Bacteria.Proteobacteria,D
GCA.002422845.1.Bacteria.Proteobacteria,B
GCA.002938255.1.Bacteria.Proteobacteria,B
GCA.003213135.1.Bacteria.Proteobacteria,E
GCA.002717245.1.Bacteria.Proteobacteria,D
GCF.003072485.1.Bacteria.Proteobacteria,C
GCA.002500565.1.Bacteria.Proteobacteria,B
GCA.002238905.1.Bacteria.Proteobacteria,B
GCA.002084505.1.Bacteria.Proteobacteria,D
GCA.001898075.1.Bacteria.Proteobacteria,E
GCA.002632265.1.Bacteria.Proteobacteria,C
GCA.002722885.1.Bacteria.Proteobacteria,D
GCA.006969625.1.Bacteria.Proteobacteria,D
GCA.002898275.1.Bacteria.Proteobacteria,B
GCA.002238885.1.Bacteria.Proteobacteria,C
GCF.001613805.1.Bacteria.Proteobacteria,C
GCA.002723345.1.Bacteria.Proteobacteria,C
GCA.002717185.1.Bacteria.Proteobacteria,E
GCA.002717225.1.Bacteria.Proteobacteria,B
GCA.002686135.1.Bacteria.Proteobacteria,C
GCA.002348425.1.Bacteria.Proteobacteria,B
GCF.002148795.1.Bacteria.Proteobacteria,D
GCF.900102465.1.Bacteria.Proteobacteria,B
GCA.002709155.1.Bacteria.Proteobacteria,B
GCA.003280605.1.Bacteria.Proteobacteria,B
GCA.002457765.1.Bacteria.Proteobacteria,A
GCA.002340345.1.Bacteria.Proteobacteria,D
GCF.002251795.1.Bacteria.Proteobacteria,D
GCF.006980715.1.Bacteria.Proteobacteria,E
GCF.000315795.1.Bacteria.Proteobacteria,E
GCF.900167455.1.Bacteria.Proteobacteria,E
GCF.003258945.1.Bacteria.Proteobacteria,D
GCA.002291925.1.Bacteria.Proteobacteria,B
GCA.003504035.1.Bacteria.Proteobacteria,D
GCA.002257235.1.Bacteria.Proteobacteria,C
GCA.001898705.1.Bacteria.Proteobacteria,C
GCA.001897795.1.Bacteria.Proteobacteria,E
GCF.000757605.1.Bacteria.Proteobacteria,D
GCA.001897475.1.Bacteria.Proteobacteria,E
GCF.000264455.2.Bacteria.Proteobacteria,C
GCA.002721365.1.Bacteria.Proteobacteria,B
GCA.002701885.1.Bacteria.Proteobacteria,C
GCA.002348365.1.Bacteria.Proteobacteria,B
GCF.900172325.1.Bacteria.Proteobacteria,B
GCF.002798435.1.Bacteria.Proteobacteria,D
GCF.003173035.1.Bacteria.Proteobacteria,A
GCA.002796975.1.Bacteria.Proteobacteria,D
GCF.000192575.1.Bacteria.Proteobacteria,B
GCA.002731375.1.Bacteria.Proteobacteria,D
GCA.003454415.1.Bacteria.Proteobacteria,D
GCA.003158585.1.Bacteria.Proteobacteria,D
GCA.002280485.1.Bacteria.Proteobacteria,C
GCA.002480495.1.Bacteria.Proteobacteria,D
GCA.001464215.1.Bacteria.Proteobacteria,C
GCF.001399755.1.Bacteria.Proteobacteria,B
GCA.002722435.1.Bacteria.Proteobacteria,B
GCA.002683115.1.Bacteria.Proteobacteria,C
GCA.001750645.1.Bacteria.Proteobacteria,D
GCA.002451085.1.Bacteria.Proteobacteria,C
GCA.002420425.1.Bacteria.Proteobacteria,D
GCA.002405475.1.Bacteria.Proteobacteria,C
GCA.001750625.1.Bacteria.Proteobacteria,E
GCF.900111015.1.Bacteria.Proteobacteria,E
GCF.002940605.1.Bacteria.Proteobacteria,E
GCF.001431315.1.Bacteria.Proteobacteria,D
GCA.003489505.1.Bacteria.Proteobacteria,A
GCA.002631715.1.Bacteria.Proteobacteria,C
GCA.002352565.1.Bacteria.Proteobacteria,E
GCF.000021985.1.Bacteria.Proteobacteria,A
GCA.002747435.1.Bacteria.Proteobacteria,D
GCF.001641825.1.Bacteria.Proteobacteria,B
GCF.001614315.2.Bacteria.Proteobacteria,A
GCA.002746645.1.Bacteria.Proteobacteria,B
GCA.002699105.1.Bacteria.Bacteroidota,C
GCA.002386945.1.Bacteria.Proteobacteria,B
GCA.002728355.1.Bacteria.Proteobacteria,B
GCA.002007405.1.Bacteria.Proteobacteria,A
GCA.001735895.1.Bacteria.Proteobacteria,D
GCF.002958735.1.Bacteria.Proteobacteria,D
GCF.000239355.1.Bacteria.Proteobacteria,E
GCF.001051235.1.Bacteria.Proteobacteria,B
GCA.002862435.1.Bacteria.Proteobacteria,D
GCA.002255365.1.Bacteria.Proteobacteria,E
GCF.900112605.1.Bacteria.Proteobacteria,E
GCF.000374645.1.Bacteria.Proteobacteria,D
GCA.002432655.1.Bacteria.Proteobacteria,D
GCA.003155415.1.Bacteria.Proteobacteria,D
GCA.003137095.1.Bacteria.Proteobacteria,D
GCA.002868855.1.Bacteria.Proteobacteria,B
GCA.003228965.1.Bacteria.Proteobacteria,B
GCA.002688175.1.Bacteria.Proteobacteria,D
GCA.002338605.1.Bacteria.Proteobacteria,B
GCA.002085445.1.Bacteria.Proteobacteria,D
GCF.001720165.1.Bacteria.Proteobacteria,E
GCF.000024725.1.Bacteria.Proteobacteria,B
GCA.002454015.1.Bacteria.Proteobacteria,E
GCA.002389045.1.Bacteria.Proteobacteria,C
GCA.002292285.1.Bacteria.Proteobacteria,C
GCA.002170535.1.Bacteria.Proteobacteria,C
GCA.002007425.1.Bacteria.Proteobacteria,D
GCF.000815225.1.Bacteria.Proteobacteria,A
GCF.000300295.4.Bacteria.Proteobacteria,B
GCF.003097315.1.Bacteria.Proteobacteria,C
GCF.003612015.1.Bacteria.Proteobacteria,E
GCF.003052605.1.Bacteria.Proteobacteria,D
GCF.000284615.1.Bacteria.Proteobacteria,C
GCA.002796245.1.Bacteria.Proteobacteria,B
GCA.002707205.1.Bacteria.Proteobacteria,C
GCA.002469885.1.Bacteria.Proteobacteria,C
GCA.001801745.1.Bacteria.Proteobacteria,D
GCA.002404295.1.Bacteria.Proteobacteria,D
GCA.002429595.1.Bacteria.Proteobacteria,C
GCA.002732805.1.Bacteria.Proteobacteria,C
GCA.001801285.1.Bacteria.Proteobacteria,A
GCF.002020875.1.Bacteria.Proteobacteria,D
GCF.001697225.1.Bacteria.Proteobacteria,D
GCA.002840095.1.Bacteria.Proteobacteria,B
GCA.003230085.1.Bacteria.Proteobacteria,C
GCA.002400775.1.Bacteria.Proteobacteria,D
GCA.001464965.1.Bacteria.Proteobacteria,D
GCA.001447805.1.Bacteria.Proteobacteria,A
GCA.002395105.1.Bacteria.Proteobacteria,E
GCF.000021725.1.Bacteria.Campylobacterota,D
GCA.000830255.1.Bacteria.Campylobacterota,D
GCA.002898535.1.Bacteria.Acidobacteriota,D
GCA.002335385.1.Bacteria.Acidobacteriota,C
GCA.002010665.1.Bacteria.Acidobacteriota,C
GCA.001775755.1.Bacteria.Acidobacteriota,C
GCA.002789615.1.Bacteria.Acidobacteriota,A
GCA.002747255.1.Bacteria.Acidobacteriota,E
GCA.002298155.1.Bacteria.Acidobacteriota,B
GCA.002731215.1.Bacteria.Acidobacteriota,B
GCA.002712885.1.Bacteria.Acidobacteriota,D
GCA.003155335.1.Bacteria.Acidobacteriota,B
GCA.002238705.1.Bacteria.Acidobacteriota,D
GCA.003223975.1.Bacteria.Acidobacteriota,E
GCA.002483445.1.Bacteria.Acidobacteriota,D
GCA.002451015.1.Bacteria.Acidobacteriota,D
GCA.003222815.1.Bacteria.Acidobacteriota,D
GCA.003224665.1.Bacteria.Acidobacteriota,D
GCA.003131705.1.Bacteria.Acidobacteriota,D
GCA.003152325.1.Bacteria.Acidobacteriota,D
GCA.003140235.1.Bacteria.Acidobacteriota,C
GCA.001767075.1.Bacteria.Acidobacteriota,D
GCA.003223635.1.Bacteria.Acidobacteriota,D
GCA.003152095.1.Bacteria.Acidobacteriota,D
GCA.003133645.1.Bacteria.Acidobacteriota,D
GCA.002327305.1.Bacteria.Acidobacteriota,D
GCA.003223995.1.Bacteria.Acidobacteriota,D
GCA.003223145.1.Bacteria.Acidobacteriota,C
GCA.001664505.1.Bacteria.Acidobacteriota,B
GCA.003230535.1.Bacteria.SZUA.182,D
GCA.002347965.1.Bacteria.UBA2233,C
GCA.001775255.1.Bacteria.Desulfobacterota.D,D
GCA.001914955.1.Bacteria.Nitrospirota,C
GCA.001803875.1.Bacteria.Nitrospirota,C
GCA.001805205.1.Bacteria.Nitrospirota,C
GCA.001803815.1.Bacteria.Nitrospirota,B
GCA.003235715.1.Bacteria.Nitrospirota,D
GCA.003153275.1.Bacteria.Nitrospirota,C
GCA.002011735.1.Bacteria.Nitrospirota,B
GCA.003454665.1.Bacteria.Nitrospirota,C
GCA.001803795.1.Bacteria.Nitrospirota,D
GCA.003220615.1.Bacteria.Methylomirabilota,C
GCA.001771285.1.Bacteria.Methylomirabilota,E
GCF.900079095.1.Bacteria.Tectomicrobia,B
GCA.002238965.1.Bacteria.UBA8248,B
GCA.003229375.1.Bacteria.Nitrospinota,E
GCA.002705185.1.Bacteria.Nitrospinota,C
GCA.002500605.1.Bacteria.Nitrospinota,C
GCA.001803565.1.Bacteria.Nitrospinota.B,C
GCA.001790645.1.Bacteria.Schekmanbacteria,D
GCA.003170555.1.Bacteria.FEN.1099,C
GCA.001799195.1.Bacteria.Bdellovibrionota,C
GCA.002787535.1.Bacteria.Bdellovibrionota,C
GCA.001798135.1.Bacteria.UBA10199,C
GCA.001798715.1.Bacteria.UBA10199,C
GCA.002796325.1.Bacteria.UBA10199,C
GCA.001798185.1.Bacteria.UBA10199,C
GCA.001798075.1.Bacteria.UBA10199,D
GCA.002342225.1.Bacteria.Bdellovibrionota,C
GCA.001798265.1.Bacteria.Bdellovibrionota.E,C
GCA.001797335.1.Bacteria.Bdellovibrionota.E,B
GCA.002715375.1.Bacteria.Bdellovibrionota,C
GCA.002321895.1.Bacteria.Bdellovibrionota,C
GCA.001769805.1.Bacteria.Bdellovibrionota,B
GCA.003230795.1.Bacteria.Bdellovibrionota.C,D
GCA.002343185.1.Bacteria.Bdellovibrionota.C,B
GCA.002311335.1.Bacteria.Desulfobacterota.B,B
GCA.002238415.1.Bacteria.Desulfobacterota.B,D
GCA.002898795.1.Bacteria.Desulfobacterota.B,D
GCA.002050235.1.Bacteria.Desulfobacterota.B,D
GCA.003161515.1.Bacteria.Desulfobacterota.B,C
GCA.001798565.1.Bacteria.Desulfobacterota.B,D
GCA.002328485.1.Bacteria.Desulfobacterota.G,D
GCA.001797815.1.Bacteria.RBG.13.61.14,B
GCA.003247575.1.Bacteria.Myxococcota.A,C
GCA.002731275.1.Bacteria.Myxococcota,D
GCA.002841945.1.Bacteria.Myxococcota,C
GCA.002789955.1.Bacteria.Myxococcota,B
GCA.002863065.1.Bacteria.Myxococcota,E
GCA.002728755.1.Bacteria.Myxococcota,B
GCA.002726535.1.Bacteria.Myxococcota,E
GCA.002724675.1.Bacteria.Myxococcota.A,B
GCA.002707085.1.Bacteria.Myxococcota.A,C
GCA.002699025.1.Bacteria.Myxococcota,E
GCF.000737335.2.Bacteria.Proteobacteria,D
GCA.002841825.1.Bacteria.Myxococcota,A
GCA.002747355.1.Bacteria.Myxococcota,D
GCA.003170275.1.Bacteria.Myxococcota,D
GCA.002344285.1.Bacteria.Myxococcota,C
GCA.002721815.1.Bacteria.Myxococcota,E
GCA.002696345.1.Bacteria.Myxococcota,C
GCA.001798605.1.Bacteria.Myxococcota,A
GCA.002309015.1.Bacteria.Myxococcota,C
GCA.001768075.1.Bacteria.Myxococcota,C
GCF.001611275.1.Bacteria.Desulfobacterota,D
