accession,location
GCA.002327765.1.Bacteria.Desulfobacterota.E,D
GCF.000266945.1.Bacteria.Desulfobacterota,D
GCA.001896555.1.Bacteria.Desulfobacterota,B
GCA.003232385.1.Bacteria.SZUA.79,C
GCA.001797415.1.Bacteria.Desulfobacterota,C
GCA.002010915.1.Bacteria.Desulfobacterota,C
GCA.001830835.1.Bacteria.Desulfobacterota,C
GCA.002782605.1.Bacteria.Desulfobacterota,D
GCA.002327985.1.Bacteria.Desulfobacterota,D
GCA.001304105.1.Bacteria.Desulfobacterota,B
GCA.003194485.1.Bacteria.Desulfobacterota,D
GCA.002877985.1.Bacteria.Desulfobacterota,D
GCA.002347095.1.Bacteria.Desulfobacterota,C
GCA.007244385.1.Bacteria.Desulfobacterota,D
GCA.002899795.1.Bacteria.Desulfobacterota,C
GCA.002011835.1.Bacteria.Desulfobacterota,D
GCF.000620765.1.Bacteria.Desulfobacterota.I,D
GCA.001797675.1.Bacteria.Desulfobacterota,D
GCF.000195295.1.Bacteria.Desulfobacterota,A
GCA.001577715.1.Bacteria.Desulfobacterota,B
GCA.001751085.1.Bacteria.Desulfobacterota,D
GCA.000961655.1.Bacteria.Desulfobacterota,D
GCA.001873295.1.Bacteria.CG2.30.70.394,D
GCA.001873285.1.Bacteria.CG2.30.53.67,B
GCA.002897695.1.Bacteria.BMS3Abin14,D
GCA.000739515.1.Bacteria.Moduliflexota,B
GCA.001577135.1.Bacteria.Cloacimonadota,C
GCA.001412425.1.Bacteria.Cloacimonadota,D
GCA.001774505.1.Bacteria.RBG.13.66.14,D
GCA.002441125.1.Bacteria.WOR.3,C
GCA.002366635.1.Bacteria.WOR.3,D
GCA.001771735.1.Bacteria.WOR.3,C
GCA.002366725.1.Bacteria.WOR.3,B
GCA.002256535.1.Bacteria.WOR.3,C
GCA.002215665.1.Bacteria.WOR.3,C
GCA.001412365.1.Bacteria.WOR.3,D
GCA.003221825.1.Bacteria.Gemmatimonadota,C
GCA.002348465.1.Bacteria.Gemmatimonadota,C
GCA.001780825.1.Bacteria.Gemmatimonadota,C
GCA.001789205.1.Bacteria.Fibrobacterota,D
GCA.003455335.1.Bacteria.Fibrobacterota,A
GCA.002449765.1.Bacteria.Fibrobacterota,D
GCA.002414805.1.Bacteria.Fibrobacterota,D
GCA.001045525.1.Bacteria.Fibrobacterota,D
GCA.003477045.1.Bacteria.Delongbacteria,B
GCA.002898195.1.Bacteria.AABM5.125.24,C
GCA.002127415.1.Bacteria.AABM5.125.24,C
GCA.002724735.1.Bacteria.Marinisomatota,C
GCA.002712165.1.Bacteria.Proteobacteria,D
GCA.002347855.1.Bacteria.Marinisomatota,D
GCA.002452555.1.Bacteria.Marinisomatota,D
GCA.001872685.1.Bacteria.Marinisomatota,D
GCF.000013045.1.Bacteria.Bacteroidota,D
GCA.003167015.1.Bacteria.Bacteroidota,D
GCF.001280305.1.Bacteria.Bacteroidota,C
GCA.001769655.1.Bacteria.Bacteroidota,E
GCA.002483345.1.Bacteria.Bacteroidota,E
GCF.900116225.1.Bacteria.Bacteroidota,D
GCA.002455375.1.Bacteria.Bacteroidota,E
GCF.900489485.1.Bacteria.Bacteroidota,C
GCA.001769385.1.Bacteria.Bacteroidota,D
GCF.001535965.1.Bacteria.Bacteroidota,D
GCA.003158365.1.Bacteria.Bacteroidota,D
GCA.003158475.1.Bacteria.Bacteroidota,C
GCA.002779395.1.Bacteria.Bacteroidota,D
GCA.002763895.1.Bacteria.Bacteroidota,D
GCA.003151215.1.Bacteria.Bacteroidota,D
GCA.002898675.1.Bacteria.Bacteroidota,D
GCA.001567195.1.Bacteria.Bacteroidota,D
GCA.002327255.1.Bacteria.KSB1,B
GCA.002085355.1.Bacteria.KSB1,C
GCA.002011685.1.Bacteria.JdFR.76,B
GCF.001886815.1.Bacteria.Calditrichota,B
GCA.002049825.1.Bacteria.Calditrichota,D
GCA.001304035.1.Bacteria.SM23.31,D
GCA.002428525.1.Bacteria.UBP14,B
GCA.002085385.1.Bacteria.UBP14,D
GCA.003105265.1.Bacteria.Zixibacteria,C
GCA.002791595.1.Bacteria.Zixibacteria,C
GCA.001775395.1.Bacteria.Zixibacteria,D
GCA.001302725.1.Bacteria.Zixibacteria,D
GCA.000447245.1.Bacteria.Zixibacteria,D
GCA.002414865.1.Bacteria.Fermentibacterota,C
GCA.002790835.1.Bacteria.Krumholzibacteriota,D
GCA.002403295.1.Bacteria.Krumholzibacteriota,B
GCA.002686915.1.Bacteria.ARS69,B
GCA.003235575.1.Bacteria.Eisenbacteria,C
GCA.001780165.1.Bacteria.Eisenbacteria,B
GCA.002686955.1.Bacteria.Gemmatimonadota.A,B
GCA.002084765.1.Bacteria.4572.55,D
GCA.001304015.1.Bacteria.TA06.A,C
GCA.001777915.1.Bacteria.Edwardsbacteria,D
GCA.001303705.1.Bacteria.TA06,C
GCA.002727195.1.Bacteria.Latescibacterota,C
GCA.002693325.1.Bacteria.Latescibacterota,B
GCA.002049985.1.Bacteria.Latescibacterota,B
GCA.002059205.1.Bacteria.Latescibacterota,D
GCA.000403035.1.Bacteria.Latescibacterota,D
GCA.003174035.1.Bacteria.Dependentiae,C
GCA.002501535.1.Bacteria.UBP7,D
GCF.000160475.1.Bacteria.Fusobacteriota,C
GCA.002313635.1.Bacteria.Fusobacteriota,D
GCF.000233775.1.Bacteria.Synergistota,D
GCA.001443005.1.Bacteria.Synergistota,E
GCF.000021285.1.Bacteria.Thermotogota,D
GCA.003538775.1.Bacteria.Thermotogota,D
GCA.002878315.1.Bacteria.Thermotogota,D
GCA.002878375.1.Bacteria.Dictyoglomota,D
GCF.000378005.1.Bacteria.Coprothermobacterota,D
GCA.002877955.1.Bacteria.Caldisericota,D
GCA.002428295.1.Bacteria.Caldisericota,E
GCF.001547735.1.Bacteria.Thermosulfidibacterota,E
GCF.000421485.1.Bacteria.Aquificota,D
GCF.900142435.1.Bacteria.Aquificota,E
GCF.000021565.1.Bacteria.Aquificota,D
GCA.002898315.1.Bacteria.Calescibacterota,C
GCA.002011615.1.Bacteria.WOR.3,C
GCA.002010365.1.Bacteria.Bipolaricaulota,D
GCA.003535305.1.Bacteria.Bipolaricaulota,C
GCA.001778455.1.Bacteria.Bipolaricaulota,E
GCA.000353875.1.Bacteria.Atribacterota,E
GCA.900313515.1.Bacteria.Eremiobacterota,B
GCA.003244105.1.Bacteria.Eremiobacterota,D
GCA.003167155.1.Bacteria.Eremiobacterota,D
GCA.002410925.1.Bacteria.UBP13,D
GCA.002898935.1.Bacteria.CSP1.3,D
GCA.002898895.1.Bacteria.Armatimonadota,B
GCF.000427095.1.Bacteria.Armatimonadota,D
GCA.003134215.1.Bacteria.Armatimonadota,D
GCA.002431715.1.Bacteria.Armatimonadota,D
GCA.002898555.1.Bacteria.Armatimonadota,D
GCA.002352215.1.Bacteria.Armatimonadota,D
GCA.002898575.1.Bacteria.Armatimonadota,D
GCA.002435745.1.Bacteria.UBP15,C
GCF.002973605.1.Bacteria.Armatimonadota,C
GCA.002779825.1.Bacteria.Armatimonadota,D
GCA.002409445.1.Bacteria.Armatimonadota,D
GCA.003542955.1.Bacteria.Armatimonadota,D
GCA.002305165.1.Bacteria.Armatimonadota,C
GCA.002779205.1.Bacteria.Actinobacteriota,C
GCA.002366545.1.Bacteria.Actinobacteriota,D
GCA.001871795.1.Bacteria.Actinobacteriota,D
GCA.003157385.1.Bacteria.Actinobacteriota,D
GCA.001768645.1.Bacteria.Actinobacteriota,D
GCA.003140175.1.Bacteria.Actinobacteriota,D
GCA.003162395.1.Bacteria.Actinobacteriota,C
GCA.002722565.1.Bacteria.Actinobacteriota,C
GCA.002352645.1.Bacteria.Actinobacteriota,C
GCA.001767695.1.Bacteria.Actinobacteriota,D
GCF.000969705.1.Bacteria.Actinobacteriota,D
GCA.003021615.1.Bacteria.Actinobacteriota,D
GCA.002413185.1.Bacteria.Actinobacteriota,D
GCF.004348535.1.Bacteria.Actinobacteriota,B
GCF.003443735.1.Bacteria.Actinobacteriota,D
GCF.003047285.1.Bacteria.Actinobacteriota,E
GCF.001591405.1.Bacteria.Actinobacteria,E
GCF.900106035.1.Bacteria.Actinobacteriota,B
GCF.001942305.1.Bacteria.Actinobacteriota,E
GCF.000015025.1.Bacteria.Actinobacteriota,D
GCF.000384115.1.Bacteria.Actinobacteriota,C
GCA.001437855.1.Bacteria.Actinobacteriota,B
GCF.001029505.1.Bacteria.Actinobacteriota,B
GCA.002897715.1.Bacteria.Actinobacteriota,C
GCA.001768675.1.Bacteria.Actinobacteriota,D
GCA.002347645.1.Bacteria.Actinobacteriota,D
GCA.003138355.1.Bacteria.Actinobacteriota,D
GCA.001464275.1.Bacteria.Actinobacteriota,D
GCA.002347365.1.Bacteria.Actinobacteriota,A
GCA.000434775.1.Bacteria.Actinobacteriota,D
GCA.002408345.1.Bacteria.Firmicutes.G,D
GCA.002399235.1.Bacteria.Firmicutes.G,D
GCA.002159155.1.Bacteria.Firmicutes.G,D
GCA.002396805.1.Bacteria.Firmicutes.G,A
GCA.001513495.1.Bacteria.Firmicutes.G,A
GCA.001513395.1.Bacteria.Firmicutes.G,D
GCA.002426645.1.Bacteria.Firmicutes.G,D
GCA.002409975.1.Bacteria.Firmicutes.G,D
GCA.002399265.1.Bacteria.Firmicutes.G,D
GCA.002452295.1.Bacteria.Firmicutes.G,D
GCA.900016865.1.Bacteria.Firmicutes.G,A
GCA.001513145.1.Bacteria.Firmicutes.G,E
GCF.000020005.1.Bacteria.Firmicutes.D,B
GCF.000328625.1.Bacteria.Firmicutes.F,C
GCA.003070825.1.Bacteria.Firmicutes.F,A
GCA.001513125.1.Bacteria.DTU030,B
GCA.002375925.1.Bacteria.Firmicutes.E,B
GCA.002375895.1.Bacteria.Firmicutes.E,D
GCA.003023725.1.Bacteria.Firmicutes.E,D
GCA.003242675.1.Bacteria.Firmicutes.E,D
GCA.003242195.1.Bacteria.Firmicutes.E,D
GCA.002385465.1.Bacteria.Firmicutes.E,B
GCA.002376005.1.Bacteria.Firmicutes.E,C
GCA.003599345.1.Bacteria.Firmicutes.E,D
GCA.003449495.1.Bacteria.Firmicutes.E,C
GCA.002291985.1.Bacteria.Firmicutes.E,D
GCF.900142995.1.Bacteria.Firmicutes.A,B
GCA.002376045.1.Bacteria.Firmicutes.A,D
GCF.000166335.1.Bacteria.Firmicutes.A,D
GCF.000213255.1.Bacteria.Firmicutes.A,D
GCF.900129115.1.Bacteria.Firmicutes.A,D
GCA.002399285.1.Bacteria.Firmicutes.A,D
GCF.900142265.1.Bacteria.Firmicutes.A,E
GCF.900107485.1.Bacteria.Firmicutes.A,A
GCA.900066305.1.Bacteria.Firmicutes.A,A
GCA.002478485.1.Bacteria.Firmicutes.A,E
GCA.003527145.1.Bacteria.Firmicutes.A,E
GCF.900104115.1.Bacteria.Firmicutes.A,A
GCA.002297185.1.Bacteria.Firmicutes.A,E
GCA.900317035.1.Bacteria.Firmicutes.A,A
GCA.002308775.1.Bacteria.Firmicutes.A,D
GCA.002307275.1.Bacteria.Firmicutes.A,D
GCF.002252565.1.Bacteria.Firmicutes.A,A
GCA.002293295.1.Bacteria.Firmicutes.A,A
GCA.001916065.1.Bacteria.Firmicutes.A,D
GCA.002345475.1.Bacteria.Firmicutes.H,D
GCA.002411145.1.Bacteria.Firmicutes.C,D
GCF.002257705.1.Bacteria.Firmicutes.C,E
GCF.900104455.1.Bacteria.Firmicutes.C,D
GCF.000430605.1.Bacteria.Firmicutes.C,A
GCF.001553315.1.Bacteria.Firmicutes.C,A
GCF.000425045.1.Bacteria.Firmicutes.C,D
GCA.002329525.1.Bacteria.Firmicutes.C,D
GCF.001950325.1.Bacteria.Firmicutes.B,D
GCF.000024605.1.Bacteria.Firmicutes.B,D
GCA.002329495.1.Bacteria.Firmicutes.B,E
GCF.900176005.1.Bacteria.Firmicutes.B,A
GCA.001513545.1.Bacteria.Firmicutes.B,D
GCF.000620305.1.Bacteria.Firmicutes.B,D
GCA.002418765.1.Bacteria.Firmicutes.B,B
GCF.002207765.1.Bacteria.Firmicutes.B,D
GCA.002352935.1.Bacteria.Firmicutes.B,D
GCA.001508005.1.Bacteria.Firmicutes.B,A
GCA.000987045.1.Bacteria.Firmicutes.B,D
GCF.900100785.1.Bacteria.Firmicutes.B,D
GCF.002607855.1.Bacteria.Firmicutes.B,E
GCF.000019165.1.Bacteria.Firmicutes.B,D
GCF.002224645.1.Bacteria.Firmicutes.B,E
GCA.002482535.1.Bacteria.Firmicutes.B,D
GCA.002398485.1.Bacteria.Firmicutes.B,A
GCA.001512665.1.Bacteria.Firmicutes.B,D
GCA.000961765.1.Bacteria.Firmicutes.B,D
GCA.003444595.1.Bacteria.Firmicutes.D,D
GCA.002385745.1.Bacteria.Firmicutes.D,D
GCF.900111575.1.Bacteria.Firmicutes.D,D
GCA.002423965.1.Bacteria.Firmicutes.D,D
GCF.002335525.1.Bacteria.Firmicutes,D
GCF.001399675.1.Bacteria.Firmicutes,E
GCF.000092905.1.Bacteria.Firmicutes,D
GCF.001653195.1.Bacteria.Firmicutes,A
GCF.001311905.1.Bacteria.Firmicutes,E
GCF.000218765.1.Bacteria.Firmicutes,D
GCA.002159075.1.Bacteria.Firmicutes,E
GCF.900099895.1.Bacteria.Firmicutes,C
GCF.001561915.1.Bacteria.Firmicutes,D
GCF.001742305.1.Bacteria.Firmicutes,E
GCF.000942395.1.Bacteria.Firmicutes,E
GCF.001049895.1.Bacteria.Firmicutes,D
GCF.004522215.1.Bacteria.Firmicutes,D
GCF.000503775.1.Bacteria.Firmicutes,A
GCF.001908175.1.Bacteria.Firmicutes,B
GCF.001618145.1.Bacteria.Firmicutes,A
GCF.002902625.1.Bacteria.Firmicutes,E
GCF.000440555.1.Bacteria.Firmicutes,D
GCF.000178255.1.Bacteria.Firmicutes,A
GCF.000828855.1.Bacteria.Firmicutes,A
GCF.000702165.1.Bacteria.Firmicutes,E
GCA.900320745.1.Bacteria.Firmicutes,A
GCA.000433675.1.Bacteria.Firmicutes,D
GCF.001189415.1.Bacteria.Firmicutes,B
GCA.003245625.1.Bacteria.Firmicutes,A
GCA.000431235.1.Bacteria.Firmicutes,B
GCA.003244045.1.Bacteria.Dormibacterota,D
GCA.003151665.1.Bacteria.Dormibacterota,C
GCA.002708145.1.Bacteria.Chloroflexota,C
GCA.002450835.1.Bacteria.Chloroflexota,B
GCA.003228115.1.Bacteria.Chloroflexota,C
GCA.002721445.1.Bacteria.Chloroflexota,C
GCA.002717565.1.Bacteria.Chloroflexota,C
GCA.002717925.1.Bacteria.Chloroflexota,B
GCA.002710215.1.Bacteria.Chloroflexota,C
GCA.002717805.1.Bacteria.Chloroflexota,C
GCA.002450515.1.Bacteria.Chloroflexota,D
GCF.001953175.1.Bacteria.Chloroflexota,B
GCA.003229915.1.Bacteria.Chloroflexota,D
GCA.003484395.1.Bacteria.Chloroflexota,C
GCA.002367275.1.Bacteria.Chloroflexota,C
GCA.002352365.1.Bacteria.Chloroflexota,D
GCA.002347295.1.Bacteria.Chloroflexota,C
GCA.002011475.1.Bacteria.Chloroflexota,B
GCA.002239025.1.Bacteria.Chloroflexota,C
GCA.001795235.1.Bacteria.Chloroflexota,D
GCF.001306175.1.Bacteria.Chloroflexota,E
GCF.900187885.1.Bacteria.Chloroflexota,D
GCA.002841995.1.Bacteria.Chloroflexota,D
GCF.900066015.1.Bacteria.Chloroflexota,C
GCA.002702065.1.Bacteria.Chloroflexota,D
GCA.003130875.1.Bacteria.Chloroflexota,D
GCA.003451595.1.Bacteria.Chloroflexota,C
GCA.002366755.1.Bacteria.Chloroflexota,D
GCA.002400365.1.Bacteria.Chloroflexota,C
GCA.002366595.1.Bacteria.Chloroflexota,D
GCA.002423325.1.Bacteria.Chloroflexota,D
GCA.002348045.1.Bacteria.Chloroflexota,C
GCF.003967555.1.Bacteria.Chloroflexota,D
GCA.002404055.1.Bacteria.Chloroflexota,D
GCA.002436065.1.Bacteria.Chloroflexota,D
GCA.002413265.1.Bacteria.Chloroflexota,D
GCA.002347925.1.Bacteria.Chloroflexota,E
GCF.000025005.1.Bacteria.Chloroflexota,D
GCA.002440805.1.Bacteria.Chloroflexota,D
GCA.002292925.1.Bacteria.Chloroflexota,D
GCA.001898225.1.Bacteria.Chloroflexota,B
GCA.003243965.1.Bacteria.Chloroflexota,D
GCA.001443375.1.Bacteria.Chloroflexota,D
GCA.001873755.1.Bacteria.Patescibacteria,C
GCA.002773985.1.Bacteria.Patescibacteria,D
GCA.001029795.1.Bacteria.Patescibacteria,D
GCA.002305395.1.Bacteria.Patescibacteria,C
GCA.001774395.1.Bacteria.Patescibacteria,C
GCA.002780235.1.Bacteria.Patescibacteria,D
GCA.001029735.1.Bacteria.Patescibacteria,C
GCA.002792735.1.Bacteria.Patescibacteria,D
GCA.002415345.1.Bacteria.Patescibacteria,C
GCA.001788565.1.Bacteria.Patescibacteria,C
GCA.002785325.1.Bacteria.Patescibacteria,D
GCA.000993275.1.Bacteria.Patescibacteria,C
GCA.001773455.1.Bacteria.Patescibacteria,C
GCA.002783265.1.Bacteria.Patescibacteria,C
GCA.002791215.1.Bacteria.Patescibacteria,D
GCA.002335145.1.Bacteria.Patescibacteria,D
GCA.003154375.1.Bacteria.Patescibacteria,A
GCA.002747745.1.Bacteria.Patescibacteria,C
GCA.002436205.1.Bacteria.Patescibacteria,C
GCA.002401425.1.Bacteria.Patescibacteria,D
GCA.000993595.1.Bacteria.Patescibacteria,C
GCA.001780035.1.Bacteria.Patescibacteria,C
GCA.001818435.1.Bacteria.Patescibacteria,C
GCA.001818155.1.Bacteria.Patescibacteria,D
GCA.000999025.1.Bacteria.Patescibacteria,C
GCA.001778235.1.Bacteria.Patescibacteria,C
GCA.002774425.1.Bacteria.Patescibacteria,B
GCA.002688135.1.Bacteria.Patescibacteria,C
GCA.001782805.1.Bacteria.Patescibacteria,C
GCA.002772895.1.Bacteria.Patescibacteria,C
GCA.001778095.1.Bacteria.Patescibacteria,C
GCA.002784945.1.Bacteria.Patescibacteria,C
GCA.001818315.1.Bacteria.Patescibacteria,C
GCA.002793075.1.Bacteria.Patescibacteria,D
GCA.002402995.1.Bacteria.Patescibacteria,C
GCA.001817495.1.Bacteria.Patescibacteria,B
GCA.003056205.1.Bacteria.Patescibacteria,D
GCA.000998185.1.Bacteria.Patescibacteria,C
GCA.001791325.1.Bacteria.Patescibacteria,C
GCA.001791465.1.Bacteria.Patescibacteria,D
GCA.000995845.1.Bacteria.Patescibacteria,D
GCA.003534085.1.Bacteria.Patescibacteria,C
GCA.002792135.1.Bacteria.Patescibacteria,C
GCA.001817115.1.Bacteria.Patescibacteria,D
GCA.003021915.1.Bacteria.Patescibacteria,C
GCA.001824325.1.Bacteria.Patescibacteria,C
GCA.001820055.1.Bacteria.Patescibacteria,C
GCA.001773975.1.Bacteria.Patescibacteria,C
GCA.002772205.1.Bacteria.Patescibacteria,C
GCA.001774075.1.Bacteria.Patescibacteria,D
GCA.000998135.1.Bacteria.Patescibacteria,C
GCA.001819875.1.Bacteria.Patescibacteria,C
GCA.001778875.1.Bacteria.Patescibacteria,C
GCA.001778785.1.Bacteria.Patescibacteria,D
GCA.002413065.1.Bacteria.Patescibacteria,D
GCA.000996035.1.Bacteria.Patescibacteria,D
GCA.001819495.1.Bacteria.Patescibacteria,C
GCA.002785165.1.Bacteria.Patescibacteria,C
GCA.001795795.1.Bacteria.Patescibacteria,D
GCA.000996085.1.Bacteria.Patescibacteria,D
GCA.000992445.2.Bacteria.Patescibacteria,C
GCA.002791435.1.Bacteria.Patescibacteria,B
GCA.002084955.1.Bacteria.Patescibacteria,D
GCA.001816655.1.Bacteria.Patescibacteria,C
GCA.001775055.1.Bacteria.Patescibacteria,D
GCA.002304845.1.Bacteria.Patescibacteria,D
GCA.002306345.1.Bacteria.Patescibacteria,C
GCA.001816385.1.Bacteria.Patescibacteria,C
GCA.001777455.1.Bacteria.Patescibacteria,D
GCA.003545435.1.Bacteria.Patescibacteria,C
GCA.001782075.1.Bacteria.Patescibacteria,D
GCA.002050095.1.Bacteria.Patescibacteria,C
GCA.001788215.1.Bacteria.Patescibacteria,D
GCA.000999095.1.Bacteria.Patescibacteria,D
GCA.002419125.1.Bacteria.Patescibacteria,D
GCA.001567355.1.Bacteria.Patescibacteria,C
GCA.001772805.1.Bacteria.Patescibacteria,C
GCA.002774225.1.Bacteria.Patescibacteria,C
GCA.001772665.1.Bacteria.Patescibacteria,C
GCA.002774285.1.Bacteria.Patescibacteria,C
GCA.002770755.1.Bacteria.Patescibacteria,C
GCA.000503835.1.Bacteria.Patescibacteria,D
GCF.000212395.1.Bacteria.Thermodesulfobiota,B
GCA.002050035.1.Bacteria.4484.113,C
GCA.002716725.1.Bacteria.Margulisbacteria,C
GCA.002433595.1.Bacteria.Margulisbacteria,C
GCA.003242895.1.Bacteria.Margulisbacteria,C
GCA.001783275.1.Bacteria.Margulisbacteria,C
GCA.001771505.1.Bacteria.Margulisbacteria,C
GCA.001771365.1.Bacteria.Margulisbacteria,E
GCA.900313115.1.Bacteria.Cyanobacteria,D
GCA.003149375.1.Bacteria.Cyanobacteria,C
GCA.001784555.1.Bacteria.Cyanobacteria,D
GCA.001464165.1.Bacteria.Cyanobacteria,D
GCA.003503675.1.Bacteria.Cyanobacteria,C
GCA.002783405.1.Bacteria.Cyanobacteria,D
GCF.000484535.1.Bacteria.Cyanobacteria,D
GCF.000013205.1.Bacteria.Cyanobacteria,D
GCF.002251945.1.Bacteria.Cyanobacteria,E
GCF.000015965.1.Bacteria.Cyanobacteria,E
GCF.000473895.1.Bacteria.Cyanobacteria,C
UCYNA2,C
UCYNA,E
GCF.000017845.1.Bacteria.Cyanobacteria,B
GCF.003838225.1.Bacteria.Cyanobacteria,E
GCF.000018105.1.Bacteria.Cyanobacteria,C
GCF.000316115.1.Bacteria.Cyanobacteria,D
GCA.001698445.1.Bacteria.Cyanobacteria,D
GCF.002215035.1.Bacteria.Cyanobacteria,D
GCF.000353285.1.Bacteria.Cyanobacteria,E
GCF.000317045.1.Bacteria.Cyanobacteria,E
Richelia.intracellularis.HM01,E
Richelia.intracellularis.HH01,E
Nostoc.sp.PCC7120,E
GCF.000020025.1.Bacteria.Cyanobacteria,E
Fischerella.muscicola.CCMEE5323,D
GCF.001870225.1.Bacteria.Cyanobacteria,E
Cyanelle.Glaucophyta.Cyanophora.paradoxa,E
Chloroplast.Rhodophyta.Porphyridium.purpureum,E
Chloroplast.Rhodophyta.Gracilariopsis.lemaneiformis,E
Chloroplast.Rhodophyta.Cyanidioschyzon.merolae,E
Chloroplast.Streptophyta.Oryza.sativa,E